family;variation;algorithm
Maximum Flow;;Ford & Fulkerson
Maximum Flow;;Dinitz
Maximum Flow;;Edmonds & Karp
Maximum Flow;;Karzanov
Maximum Flow;;Galil & Naamad
Linear Programming;;Fourier–Motzkin elimination
Linear Programming;;Khachiyan Ellipsoid algorithm 
Convex Hull;2-dimensional;Brute Force
Convex Hull;2-dimensional;Jarvis
Sequence Alignment;Edit sequence, global alignment;Needleman–Wunsch algorithm
Sequence Alignment;Edit sequence, local alignment;Smith–Waterman algorithm
Sequence Alignment;Edit distance;Masek; Patterson
Sequence Alignment;Edit sequence;Hirschberg's algorithm
Sequence Alignment;Edit sequence, local alignment;FASTA
Sequence Alignment;Edit sequence, local alignment;Gotoh
Sequence Alignment;Edit sequence, local alignment;Altschul and Erickson
Sequence Alignment;Edit sequence, local alignment;Myers and Miller
Sequence Alignment;Edit sequence, global alignment;David Sankoff
Nearest Neighbor Search;Nearest Neighbor Search (NNS);Linear search
Nearest Neighbor Search;Nearest Neighbor Search (NNS);k-d Tree
Nearest Neighbor Search;Nearest Neighbor Search (NNS);R-tree
Graph Coloring;O(n^{3/14}) coloring a 3-colorable graph;Karger, Blum
Maximum Cardinality Matching;;Micali and Vazirani
The Traveling-Salesman Problem;Geometric Maximum TSP;Barvinok
Maximum Flow;;Dantzig
Maximum Flow;;Dinitz (with dynamic trees)
Maximum Flow;;Cherkassky
Maximum Flow;;Sleator & Tarjan
Maximum Flow;;Goldberg & Tarjan
Maximum Flow;;Ahuja & Orlin
Linear System;Positive Definite Matrix;Conjugate Gradient
Linear Programming;;Karmarkar's algorithm
Linear Programming;;Simplex Algorithm
Linear Programming;;Terlaky's Criss-cross algorithm
Linear Programming;;Affine scaling
Linear Programming;;Cohen; Lee and Song
Linear Programming;;Lee and Sidford
Convex Hull;2-dimensional;Graham
Convex Hull;2-dimensional;W. Eddy Quickhull
Convex Hull;2-dimensional; 3-dimensional;Preparata and Hong
Convex Hull;2-dimensional; 3-dimensional;Preparata and Hong
Convex Hull;2-dimensional;Andrew's algorithm
Convex Hull;2-dimensional;The ultimate planar convex hull algorithm
Convex Hull;2-dimensional; 3-dimensional;Chan's algorithm
Convex Hull;2-dimensional; 3-dimensional;Chan's algorithm
Convex Hull;2-dimensional;Miller; Stout
Sequence Alignment;Edit sequence, global alignment;FOGSAA
Line Clipping;convex and non-convex polyhedral window;Skala
Shown Surface Determination;;Painter's algorithm/Newell's algorithm
Shown Surface Determination;;Warnock's algorithm
Shown Surface Determination;;Ray tracing
Shown Surface Determination;;Binary space partitioning (BSP)
Shown Surface Determination;;Z-buffering
Shown Surface Determination;;S-buffer/Scanline Rendering
Integer Relation;Integer Relation;HJLS algorithm
The Traveling-Salesman Problem;;Johnson; D. S.; McGeoch; L. A.
The Traveling-Salesman Problem;; Gutina; Gregory; Yeob; Anders; Zverovich; Alexey
Maximum Flow;;Ahuja et al.
Convex Hull;;Incremental convex hull algorithm; Michael Kallay
Mutual Exclusion;2-thread Mutual Exclusion;Dekker's algorithm
SDD Systems Solvers;;Briggs; Henson; McCormick
Convex Optimization (Non-linear);ILP;MILPs;Gomory's cutting method
Convex Optimization (Non-linear);ILP;MILPs;Gomory's cutting method
Convex Optimization (Non-linear);General, Constrained optimization;Wolfe; Lemaréchal; Kiwiel
Convex Optimization (Non-linear);General, Constrained optimization;Ellipsoid method
Convex Optimization (Non-linear);General, Constrained optimization;Subgradient method
Convex Optimization (Non-linear);Stochastic optimization;Dual subgradients and the drift-plus-penalty method
Root Computation;Root Computation with continuous second derivative;Halley's method
Cardinality Estimation;streaming;Min/max sketches streaming algorithm
Cardinality Estimation;streaming;Bottom-m sketches streaming algorithm
Register Allocation;;Cooper and Dasgupta algorithm
Graph Edit Distance Computation;;Alberto Sanfeliu and King-Sun Fu
Graph Edit Distance Computation;;Wang Y-K; Fan K-C; Horng J-T
Graph Edit Distance Computation;;Tao D; Tang X; Li X et al
Delaunay Triangulation;General Delaunay Triangulation (d-dimensions);Dwyer (higher dimensions)
Factorization of Polynomials Over Finite Fields;Distinct-degree; Equal-degree;Berlekamp's algorithm
Factorization of Polynomials Over Finite Fields;Distinct-degree; Equal-degree;Berlekamp's algorithm
Factorization of Polynomials Over Finite Fields;Square-free;Square-free factorization
Factorization of Polynomials Over Finite Fields;Distinct-degree;Distinct-degree factorization
Factorization of Polynomials Over Finite Fields;Equal-degree;Cantor–Zassenhaus algorithm
Factorization of Polynomials Over Finite Fields;Equal-degree;Victor Shoup's algorithm
Stable Matching Problem;Arc Consistency?;Hentenryck et. al.
Graph Isomorphism Problem;Isomorphism of strongly regular graphs;Spielman
Graph Isomorphism Problem;;McKay
Graph Isomorphism Problem;;Schmidt & Druffel
Graph Isomorphism Problem;Subgraph Isomorphism;Ullman
Graph Isomorphism Problem;;Babai
Graph Isomorphism Problem;Circulant graphs;Muzychuk
Graph Isomorphism Problem;Partial k-trees;Bodlaender
Graph Isomorphism Problem;Hypergraphs isomorphism;Babai & Codenotti
Maximum Likelihood Methods in Unknown Latent Variables;Maximum Likelihood Methods in Unknown Latent Variables; multi-view model, discrete observations;Shaban; Amirreza; Mehrdad; Farajtabar
Maximum Likelihood Methods in Unknown Latent Variables;Maximum Likelihood Methods in Unknown Latent Variables, Hidden Markov Models;alpha-HMM (Matsuyama, Yasuo)
The Set-Covering Problem;;Greedy Algorithm
The Set-Covering Problem;;Lund & Yannakakis
The Set-Covering Problem;;Feige
The Set-Covering Problem;;Raz & Safra
The Set-Covering Problem;;Dinur & Steurer
The Set-Covering Problem;;Cardoso; Nuno; Abreu; Rui
The Set-Covering Problem;;Brute force
Maximum Cut;Maximum Cut, Approximate;Motwani & Raghavan
Maximum Cut;Maximum Cut, Approximate;Mitzenmacher & Upfal
Maximum Cut;Maximum Cut, Approximate;Khuller; Raghavachari & Young, "Greedy Methods"
Maximum Cut;Maximum Cut, Approximate;Ausiello et al.
Maximum Cut;Maximum Cut, Approximate;Dunning; Gupta & Silberholz
Integer Relation;Integer Relation;Ferguson–Forcade algorithm
Integer Relation;Integer Relation;LLL algorithm
Integer Relation;Integer Relation;PSOS algorithm
Integer Relation;Integer Relation;PSLQ algorithm
Logarithm Calculations;Discrete Logarithm Over Finite Fields, F_q;Index calculus algorithm
Integral Equations;;Naive Implementation
One-Way Hash Functions;;Whirlpool
One-Way Hash Functions;Optional Key?;BLAKE2
Graph Diameter;Arbitrary edge weights, Dense graph;Dense APSP algorithm
Graph Diameter;Arbitrary edge weights, Sparse graph;Sparse APSP algorithm
Graph Diameter;Unweighted;Binary representation search with matrix multiplication
Graph Diameter;Bounded integer weights;Cygan, Gabow, Sankowski
Online Matrix Vector Multiplication (OMV);;Williams
Online Matrix Vector Multiplication (OMV);;Larsen, Williams (Theorem 1.1)
